0x9850x9870x9a80x9f0 0x9850x9870x9a8 0x99a0x9bf0x9a80x9cd0x9a40x9be, 0x9ac0x9be0x9a80x9cd0x9a60x9f00x9f0 0x9950x9b2 0x9960x9cb0x9f10x9be0x9f0 0x99a0x9bf0x9a80x9cd0x9a40x9be	0x9b80x9cd0x9ac0x9be0x9f00x9cd0x9a50x9aa0x9f0 0x9ae0x9be0x9a80x9c10x9b90x9c7 0x9b80x9950x9b20x9cb 0x9b80x9ae0x9df0x9a40x9c7 0x9950x9c70x9f10x9b2 0x9a80x9bf0x99c0x9f0 0x9b80x9cd0x9ac0x9be0x9f00x9cd0x9a5 0x9b80x9bf0x9a60x9cd0x9a70x9bf0x9f0 0x9950x9a50x9be0x9b90x9c7 0x99a0x9bf0x9a80x9cd0x9a40x9be 0x9950x9f00x9c7; 0x9860x9a80x9f0 0x9b80x9cd0x9ac0x9be0x9f00x9cd0x9a5 0x9ac0x9be 0x9950x9be0x9ae0x9f0 0x9aa0x9cd0x9f00x9a40x9bf 0x9950x9cb0x9a80x9cb 0x9860x9970x9cd0x9f00x9b9 0x9a80x9c70x9a60x9c70x9960x9c10x9f10x9be0x9df |	A selfish person always thinks for fulfilling his own interests and never shows any concern to other`s interest.
0x9890x9a80x9be 0x9ad0x9be0x9a40x9c7 0x9a60x9c10x9a80x9be 0x9ac0x9b2, 0x9850x9a70x9bf0x995 0x9ad0x9be0x9a40x9c7 0x9f00x9b80x9be0x9a40x9b2	0x9b80x9a60x9be0x9df 0x9aa0x9f00x9bf0x9ae0x9bf0x9a4 0x9860x9b90x9be0x9f00x9b90x9c7 0x9970x9cd0x9f00x9b90x9a3 0x9950x9f00x9be 0x9890x99a0x9bf0x9a4; 0x9850x9a70x9bf0x995 0x9ad0x9cb0x99c0x9a8 0x9b80x9cd0x9ac0x9be0x9b80x9cd0x9a50x9cd0x9af0x9f0 0x9ac0x9be0x9ac0x9c7 0x9b90x9be0x9a80x9bf0x9950x9be0x9f00x995 0x9f7	Eating more than neccesary is always bad for health.
0x9970x9c10x9f0 0x9950x9bf0x9a80x9be0x9f00x9a4 0x9970x99a0x9950x9bf0x9b20x9c70x993 0x9850x9b60x9c10x99a0x9bf 0x9ae0x9be0x99c0x9a4 0x9970x99a0x9950x9bf0x9b20x9c70x993 0x9850x9b60x9c10x99a0x9bf 0x9f7	0x9970x9c1 0x9ac0x9be 0x9ac0x9bf0x9b70x9cd0x9a00x9be0x9a4 0x9ae0x9be0x9a80x9c10x9b90x9f0 0x9ad0x9f00x9bf 0x9aa0x9f00x9bf0x9b20x9c70x987 0x9970x9be 0x9850x9b60x9c10x99a0x9bf 0x9b90x9df, 0x9970x99a0x9950x9be 0x9b20x9be0x9970x9bf0x9b20x9c7 0x9950x9bf0x9a80x9be0x9f00x9a40x9c7 0x9aa0x9f00x995 0x9ac0x9be 0x9ae0x9be0x99c0x9a40x9c7 0x9aa0x9f00x995 0x9ac0x9bf0x9b70x9cd0x9a00x9be0x9f0 0x9b80x9820x9b80x9cd0x9aa0x9f00x9cd0x9b60x987 0x9970x9be 0x9b80x9ae0x9be0x9a80x9c70x987 0x9850x9b60x9c10x99a0x9bf 0x9950x9f00x9c70x9f7 0x98f0x9950x9c70x9a60x9f00x9c7 0x9ac0x9c70x9df0x9be 0x9950x9f00x9cd0x9ae 0x9ac0x9be 0x9950x9a50x9be0x987, 0x9b80x9bf 0x9b20x9be0x9970x9bf0x9b20x9c7 0x9b80x9f00x9c10x9df0x9c70x987 0x9b90x9930x995 0x9ac0x9be 0x9a10x9be0x9990x9f00x9c70x987 0x9b90x9930x995, 0x9ae0x9be0x9a80x9c10x9b90x9f0 0x9ae0x9be0x9a8-0x9b80x9a80x9cd0x9ae0x9be0x9a8 0x9b80x9ae0x9be0x9a80x9ad0x9be0x9ac0x9c7 0x9a80x9b70x9cd0x99f 0x9950x9f00x9c7 0x9f7	If someone treads on excreta or animal soil partially or entirely, the person's whole body becomes unclean and impure (unholy), similarly a person equally loses his/her prestige by indulging himself/herself in bad deeds may it be small or big.
0x9ac0x9c10x9dd0x9c0 0x9860x987 0x98f 0x9a80x9be0x9b90x9bf0x9b20x9bf 0x9b80x9c10x9960x9f0 0x9950x9be0x9b20x9a4, 0x9b80x9be0x9a40x99c0x9a80x9c0 0x9a80x9bf0x9970x9a80x9bf 0x9960x9c00x9f00x9be0x987 0x9960x9be0x9870x99b0x9bf0x9b20x9cb, 0x9970x9c70x9f00x9c70x9b20x9be0x995 0x9ac0x9be0x9870x99b0x9bf0x9b20x9cb 0x9b90x9be0x9b20x9a4	0x9860x9950x9be0x9b20x9f0 (0x9a60x9c10x9f00x9cd0x9a60x9cd0x9a60x9bf0x9a80x9f0 0x9b80x9ae0x9df0x9a4) 0x9a60x9bf0x9a80x9a4 0x98f0x9b80x9ae0x9df0x9f0 0x9aa0x9cd0x9f00x9be0x99a0x9c10x9f00x9cd0x9af0x9cd0x9af0x9f0 0x9950x9a50x9be 0x9ae0x9a80x9a4 0x9aa0x9c70x9b20x9be0x987 0x9b60x9cb0x995 0x9950x9f00x9be	After being pauper, remembering sadly the times when he was rich.
0x9ae0x9c20x9f00x9a4 0x9860x9950x9be0x9b60x9c0 0x9b80x9cd0x9ac0x9f00x997 0x9ad0x9be0x9970x9bf 0x9aa0x9f00x9be	0x9b90x9a00x9be0x9a40x9c7 0x9ad0x9df0x9990x9cd0x9950x9f0 0x9ac0x9bf0x9aa0x9a60x9f0 0x9b80x9a80x9cd0x9ae0x9c10x9960x9c00x9a8 0x9b90x9cb0x9f10x9be	To suddenly face a very serious trouble
0x9970x9f00x9c10x9f0 0x9860x9970x9a4 0x99f0x9cb0x9950x9be0x9f00x9c0 0x9ac0x9be0x9df / 0x9ac0x9c00x9a3 0x9ac0x99c0x9be0x9df, 0x9b60x9bf0x982 0x99c0x9cb0x9950x9be0x9f00x9bf 0x9980x9be0x9810x9b9 0x9960x9be0x9df |	0x9970x9f00x9c10x9f0 0x9860x9970x9a4 0x99f0x9cb0x9950x9be0x9f00x9c0 0x9ac0x99c0x9be0x9b20x9c70x993 0x9af0x9bf0x9a60x9f00x9c7 0x9b80x9990x9cd0x9970x9c00x9a40x9f0 0x9ae0x9cb0x9b2 0x98f0x9950x9cb 0x9ac0x9c10x99c0x9bf0x9ac 0x9a80x9cb0x9f10x9be0x9f00x9bf 0x9b60x9bf0x982 0x99c0x9cb0x9950x9be0x9f00x9bf 0x9980x9be0x9810x9b9 0x9960x9cb0x9f10x9be0x9a40x9b90x9c7 0x9ae0x9970x9cd0x9a8 0x9b90x9df, 0x9b80x9c70x9870x9a60x9f00x9c70x987 0x9850x99c0x9cd0x99e0x9be0x9a80x9c0 0x9b20x9cb0x9950x995 0x9af0x9bf0x9ae0x9be0x9a80x9c70x987 0x9ad0x9be0x9b2 0x9950x9a50x9be 0x9950x9cb0x9f10x9be 0x9a80x9b90x9930x995 0x9950x9bf0x9df 0x9a40x9be0x995 0x9890x9b20x9be0x987 0x9950x9f00x9bf 0x9a80x9bf0x99c0x9f0 0x9870x99a0x9cd0x99b0x9be0x9ae0x9a40x9c7 0x9950x9be0x9ae 0x9950x9f00x9bf0x9df0x9c70x987 0x9af0x9be0x9df |0x98f0x987 0x9ab0x9950x9f00x9be 0x9ab0x9be0x9950x9bf \'0x9850x9ac0x9c10x99c0x9a80x995 0x9ac0x9c10x9cd0x99c0x9cb0x9f10x9be 0x9860x9f00x9c1 0x9a20x9c70x9f00x9c10x9f10x9be 0x9a00x9be0x9f00x9bf 0x9b80x9bf0x99c0x9cb0x9f10x9be\' 0x9ab0x9950x9f00x9be 0x9ab0x9be0x9950x9bf0x9f0 0x9b80x9ae0x9be0x9f00x9cd0x9a50x995 |	A cow cannot appreciate music. Therefore, even if you play an instrument in front of a cow, it will not stop feeding to listen to the music. Therefore it suggests that there is a proper place/audience for certain acts and these acts should be performed in these places in order to be appreciated.
0x99a0x9c70x9950x9a80x9c00x9f0 0x9860x9970x9a4 0x9ac0x9bf0x9a60x9cd0x9af0x9be ।	0x9b60x9be0x9b80x9cd0x9a40x9bf 0x9ac0x9be 0x9950x9a00x9cb0x9f0 0x9850x9a80x9c10x9b60x9be0x9b80x9a80x9f0 0x9ad0x9df0x9a40x9b90x9c7 0x9ac0x9bf0x9a60x9cd0x9af0x9be0x9f00x9cd0x9a50x9c00x9df0x9c7 0x99c0x9cd0x99e0x9be0x9a80x9be0x9f00x9cd0x99c0x9a8 0x9950x9f00x9c7, 0x98f0x9a80x9c7 0x9a70x9be0x9f00x9a30x9be ।	Disciplined study comes about under fear of punishment.
0x9b80x9a40x9bf0x9a80x9c00x9f0 0x9aa0x9c10x9a40x9c70x995 0x9860x9970x9a4 0x9970x9b20x9c70x993 0x9a60x9be0x9df, 0x9aa0x9be0x99b0x9a4 0x9970x9b20x9c70x993 0x9a60x9be0x9df0x9f7	0x9b80x9a40x9bf0x9a80x9c0 0x9b80x9a60x9be0x9df 0x9980x9c30x9a30x9be0x9f0 0x9aa0x9be0x9a40x9cd0x9f00x9f7 0x9af0x9be0x9f0 0x9aa0x9cd0x9f00x9a40x9bf 0x9ad0x9be0x9b2 0x9ad0x9be0x9f1 0x9a80x9be0x987 0x9a40x9c70x9930x981 0x9ad0x9be0x9b20x9c70x987 0x9950x9f00x995 0x9ac0x9be 0x9ac0x9c70x9df0x9be0x987 0x9950x9f00x995 0x9a40x9be0x995 0x9ac0x9c70x9df0x9be0x9f0 0x9a60x9c30x9b70x9cd0x99f0x9bf0x9f00x9c7 0x99a0x9cb0x9f10x9be 0x9b90x9df0x9f7	Act done by son of a co-wife is always taken as negative.
0x9860x99b0x9c7 0x9970x9f00x9c1 0x9a80x9be0x9ac0x9be0x987 0x9b90x9be0x9b2, 0x9a50x9950x9be0x9a40x9950x9c8 0x9a80x9a50x9950x9be0x987 0x9ad0x9be0x9b2 / 0x9860x99b0x9c7 0x9970x9f00x9c1 0x9a80x9c70x9ac0x9be0x987 0x9b90x9be0x9b2, 0x9b90x9cb0x9f10x9be0x9a40x9950x9c8 0x9a80x9cb0x9b90x9cb0x9f10x9be0x987 0x9ad0x9be0x9b2	0x9ae0x9be0x9a80x9c10x9b90x9c7 0x9a80x9bf0x99c0x9f0 0x9b90x9be0x9a40x9a4 0x9a50x9950x9be 0x9b80x9ae0x9cd0x9aa0x9a60x9ac0x9bf0x9b20x9be0x995 0x9ad0x9be0x9b20x9a60x9f00x9c7 0x9ac0x9cd0x9af0x9f10x9b90x9be0x9f0 0x9a80x9950x9f00x9bf0x9b20x9c7 0x9b80x9ae0x9cd0x9aa0x9a6 0x9a80x9a50x9950x9be0x9f0 0x9a60x9f00x9c70x987 0x9b90x9df0x9f7 0x9850x9f00x9cd0x9a50x9be0x9ce 0x9ae0x9be0x9a80x9c10x9b90x9c7 0x9a80x9bf0x99c0x9f0 0x9b80x9ae0x9cd0x9aa0x9a60x9ac0x9bf0x9b20x9be0x995 0x9b80x9a00x9bf0x9950x9ad0x9be0x9f10x9c7 0x9950x9be0x9ae0x9a4 0x9960x99f0x9c10x9930x9f10x9be 0x9890x99a0x9bf0x9a40x9f7	If one does not utilize his resources properly there is no benefit of having them.
0x9870x99a0x9cd0x99b0x9be 0x9860x99b0x9c7 0x9af`0x9a4 0x9890x9aa0x9be0x9df 0x9860x99b0x9c7 0x9a4`0x9a4 0x9f7	0x9870x99a0x9cd0x99b0x9be 0x9b60x9950x9cd0x9a40x9bf 0x9aa0x9cd0x9f00x9ac0x9b2 0x9b9'0x9b20x9c7 0x9ae0x9be0x9a80x9c10x9b90x9c7 0x9b80x9ae0x9b80x9cd0x9af0x9be 0x9b80x9ae0x9be0x9a70x9be0x9a80x9f0 0x9890x9aa0x9be0x9df 0x9ac0x9bf0x99a0x9be0x9f00x9bf 0x9890x9b20x9bf0x9df0x9be0x9df, 0x9860x9a80x9b90x9be0x9a40x9c7 0x9850x9a80x9bf0x99a0x9cd0x99b0x9be 0x9a50x9be0x9950x9bf0x9b20x9c7 0x9ae0x9be0x9a80x9c10x9b90x9c7 0x9b80x9ae0x9b80x9cd0x9af0x9be0x995 0x9860x9930x9950x9be0x9a8 0x9950x9f00x9bf0x9ac0x9b20x9c8 0x9850x99c0x9c10x9b90x9be0x9a4 0x9ac0x9bf0x99a0x9be0x9f00x9c7 0x9f7	Where there is will there is way.
