WrdEngID	WrdEng	pRoman
1	we	ˈwiː;ৱি
2	immortal	ɪˈmɔrtəl;ইম্মৰ্টেল্
3	today	təˈdeɪ;টুডে’
4	mathematics	ˌmæθˈmætɪks;ˌমেথেমেটিক্স
5	other	ˈəðər;আডাৰ
6	law	ˈlɔ;ল`
7	lotus	ˈloʊtəs;ল’টাচ
8	pen	ˈpen;পেন
9	eat	ˈiːt;ইট্
10	drain	ˈdreɪn;ড্ৰেইন
11	song	ˈsɔŋ;চং
12	sing	ˈsɪŋ;চিং
13	cow	ˈkæʊ;কাউ
14	monday	ˈməndeɪ;মান ডে
15	summer	ˈsəmər;চামাৰ
16	answer	ˈænsər;এন্‌চাৰ্
17	bright	ˈbraɪt;ব্ৰাইট্
18	house	ˈhæʊs;হাউচ্
19	client	ˈklaɪənt;ক্লাইণ্ট
20	hate	ˈheɪt;হেইট
21	yesterday	ˈjestərdeɪ;য়েষ্টাৰডে’
22	eye	ˈaɪ;আই
23	servant	ˈsərvənt;চাৰভেণ্ট
24	foot	ˈfʊt;ফুট
25	student	ˈstuːdənt;ষ্টুডেণ্ট
26	ship	ˈʃɪp;চিপ
27	cap	ˈkæp;কেপ
28	monsoon	mɑnˈsuːn;মন্‌চুন
29	can	kən;কেন
30	contract	ˈkɑnˌtrækt;কনট্ৰেক্ট
31	grinder	ˈgraɪndər;গৰাইণ্ডাৰ
32	young	ˈjəŋ;য়ং
33	sunbird	ˈsənbərd;চানবাৰ্ড
34	stay	ˈsteɪ;ষ্টে’
35	price	ˈpraɪs;প্ৰাইচ
36	metal	ˈmetəl;মেটেল
37	nose	ˈnoʊz;ন’জ
39	wife	ˈwaɪf;ৱাইফ
40	fruit	ˈfruːt;ফ্ৰুট
41	snake	ˈsneɪk;স্নেইক
42	force	ˈfɔrs;ফ’ৰচ্‌
43	sun	ˈsən;চান
44	illness	ˈɪlnəs;ইল্‌নেচ
45	insurance	ɪnˈʃʊrəns;ইনচুৰেঞ্চ
46	confusion	kənˈfjuːʒən;কনফিউজন
47	travel	ˈtrævəl;ট্ৰেভেল
48	fear	] ˈfɪr;] ফিএৰ
49	fearful	ˈfɪrfəl;ফিয়েৰফুল
50	mind	ˈmaɪnd;মাইণ্ড
51	respect	rɪˈspekt;ৰেচ্‌পেক্ট
52	fair	ˈfer;ফেয়াৰ
53	vehicle	ˈviːəkəl;ভেহিক’ল
54	fight	ˈfaɪt;ফাইট
55	colorful	ˈkələrfəl;কালাৰফুল
56	picture	ˈpɪktʃər;পিক্‌চাৰ
57	painting	ˈpeɪntɪŋ;পেইণ্টিং
