WrdEngID	WrdEng
1	we
2	immortal
3	today
4	mathematics
5	other
6	law
7	lotus
8	pen
9	eat
10	drain
11	song
12	sing
13	cow
14	monday
15	summer
16	answer
17	bright
18	house
19	client
20	hate
21	yesterday
22	eye
23	servant
24	foot
25	student
26	ship
27	cap
28	monsoon
29	can
30	contract
31	grinder
32	young
33	sunbird
34	stay
35	price
36	metal
37	nose
39	wife
40	fruit
41	snake
42	force
43	sun
44	illness
45	insurance
46	confusion
47	travel
48	fear
49	fearful
50	mind
51	respect
52	fair
53	vehicle
54	fight
55	colorful
56	picture
57	painting
58	key
59	girl
60	boy
61	mother
62	father
63	grandfather
64	grandmother
65	uncle
66	aunty
67	kidnapped
68	road
69	read
70	bayonet
71	living being
72	life
73	crate
74	meeting
75	literature
76	sin
77	brother
78	shop
79	costly
80	run
81	broker
82	street
83	king
84	queen
85	rose
86	brain
87	soul
88	tour
89	water
90	professor
91	great
92	hell
93	heaven
94	unaccessible
95	earth
96	world
97	moon
98	aeroplane
99	book
100	deep
101	electricity
102	electric
103	alternative
104	age
105	own
106	time
107	what
108	why
109	island
110	temperature
111	hot
112	wax
113	cheat
114	tuesday
115	crane
116	competition
117	understand
118	up
119	down
120	downwards
121	it
122	here
123	it’s
124	fail
125	behavior
126	this
127	color
128	love
129	day
130	alcohol
131	get
132	no
133	yes
134	for
135	reason
136	poetry
137	used
138	gate
139	government
140	do
141	suddenly
142	shame
143	star
144	rather
145	distant
146	money
147	film
148	well
149	rhino
150	dog
151	cat
152	snail
153	storm
154	letter
155	ganges
156	grasses
157	dear
158	go
159	explode
160	friday
161	naked
162	wednesday
163	accumulate
164	buy
165	sell
166	tell
167	laugh
168	cross
169	faith
170	where
171	spring
172	passenger
173	mug
174	sink
175	machine
176	mango
177	mourn
178	done
179	banana
180	lets go
181	chart
182	big
183	apple
184	philosophy
185	erudite
186	sky
187	proof
188	attached
189	nation
190	static
191	state
192	district
193	pleasure
194	wish
195	rainy season
196	God
197	philosopher
198	so
199	game
200	end
201	month
202	then
203	customer
204	accept
205	active
206	via
207	get up
208	and
209	feet
210	slowly
211	who
212	wheel
213	design
214	supply
215	build
216	friendship
217	justice
218	highway
219	from
220	rent
221	follow
222	field
223	for example
224	skill
225	multinational
226	add
227	table
228	chain
229	by
230	inertia
231	signal
232	process
233	firm
234	work
235	fixed
236	speed
237	distance
238	failure
239	light
240	admit
241	map
242	ray
243	rain
244	front
245	come
246	laughter
247	equipment
248	establish
249	shudder
250	rainbow
251	damodar
252	controlled
253	now
254	balance
255	skull
256	science
257	dictionary
258	triangle
259	square
260	blood
261	radioactive
262	analyse
263	decay
264	winter
265	zero
266	empty
267	humidity
268	molecule
269	area
270	fossil
271	living
272	border
273	frontier
274	date
275	atom
276	donation
277	year
278	dream
279	total
280	project
281	magnet
282	saturday
283	circle
284	density
285	pressure
286	direction
287	angle
288	demon
289	pendulum
290	dipole
291	velocity
292	cross-section
293	curvature
294	radiate
295	conductor
296	deform
297	move
298	dead
299	death
300	sunday
301	poverty
302	poor
303	rich
304	wealth
305	television
306	enter
307	prohibition
308	translation
309	language
310	criminal
311	crime
312	jackal
313	monkey
314	wound
315	throat
316	shape
317	in front
318	endless
319	moment
320	cell
321	education
322	teacher
323	forgive
324	line
325	ant
326	unculture
327	peda
328	famous
329	ancient
330	decade
331	etc
332	subtract
333	saturn
334	multiply
335	divide
336	movie
337	salary
338	mouse
339	man
340	woman
341	development
342	radio
343	watch
344	era
345	river
346	dip
347	inclination
348	slope
349	statistics
350	space
351	theory
352	formula
353	mechanics
354	ring
355	co-ordinate
356	coordinate
357	capacitor
358	condenser
359	logarithm
360	axial
361	digit
362	telemetry
363	telescope
364	microscope
365	telecommunication
366	fluctuation
367	galaxy
368	planet
369	satellite
370	wave
371	phone
372	male
373	female
374	goat
375	about
376	access
377	activate
378	activities
379	saboteur
380	ad
381	after
382	against
383	all
384	allow
385	almost
386	already
387	also
388	another
389	any
390	appeal
391	application
392	approach
393	article
394	ask
395	attack
396	attempts
397	authorities
398	available
399	body
400	bomb
401	both
402	brave
403	bring
404	building
405	but
406	calm
407	care
408	cause
409	central
410	centre
411	century
412	chief
413	citizen
414	city
415	civil
416	code
417	military
418	oppose
419	optimum
420	or
421	order
422	ordinary
423	organisation
424	otherwise
425	our
426	paper
427	party
428	peace
429	percentage
430	personnel
431	physical
432	piece
433	police
434	political
435	politician
436	possible
437	practice
438	president
439	press
440	programme
441	provide
442	put
443	receive
444	soon
445	sound
446	stop
447	study
448	such
449	take
450	talk
451	temple
452	terrorist
453	they
454	third
455	thousand
456	three
457	together
458	took
459	two
460	utilisation
461	very
462	view
463	violence
464	wheat
465	with
466	writer
467	wrong
468	partition
469	disabled
470	hybrid
471	inexhaustible
472	irrefutable
473	unperturbed
474	unnecessary
475	undivided
476	inaccessible
477	marked
478	briefly
479	unborn
480	worshipped
481	minute
482	so much
483	touch
484	unanticipated
485	excessive
486	inferior
487	manager
488	many
489	accessible
490	following
491	blind
492	temporal
493	uninvited
494	unrevealed
495	unproved
496	unmanliness
497	finger
498	toe
499	stomach
500	hand
501	chest
502	traitor
503	purposeless
504	rewarded
505	buttock
506	awarded
507	disruptive
508	arm
509	troublemaking
510	fallen leaves
511	thumb
512	deciduous leaves
513	unexpected
514	dentifrice
515	pinnace
516	superintendent
517	much
518	eyebrow
519	ghilapitha
520	sightless
521	boundless
522	tilpitha
523	ear
524	more than one
525	concealed
526	lip
527	coward
528	cheek
529	forehead
530	palm
531	help
532	voice
533	unflinching
534	baseless
535	sovereign
536	silent
537	narikol laru
538	blast
539	gold
540	silver
541	bihuwan
542	iron
543	screen
544	monitor
545	constitution
546	clock
547	principal
548	Israeli
549	one
550	four
551	five
552	six
553	seven
554	eight
555	vanish
556	nine
557	ten
558	lie
559	local
560	locally
561	long
562	market
563	maximum
564	meaningful
565	member
566	minimum
567	minister
568	more
569	news
570	next
571	notice
572	number
573	off
574	office
575	only
576	parliament
577	part
578	hammer
579	people
580	per
581	place
582	praise
583	precaution
584	present
585	prevent
586	promotion
587	property
588	public
589	publish
590	question
591	railway
592	raj
593	reply
594	will
595	accuse
596	act
597	additional
598	administration
599	agenda
600	agreement
601	aid
602	allocation
603	announce
